point.objects.object0.heading,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.velocity[0],point.objects.object0.velocity[1],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.velocity[0],point.objects.object3.velocity[1],rho
1.28579353865655,41.24495203687395,-78.46509982512435,0.0,0.0,1.0,0.0,0.0,36.8469387755102,-15.954545454545455,1.3656105941136756,44.22537622126111,-69.4586792709933,0.0,0.0,4.423059957280431
1.289194637452737,41.26527622203369,-78.8754130571717,0.0,0.0,0.0,0.0,1.0,37.214285714285715,-11.863636363636363,1.3812220963874895,44.446359727982475,-68.4585471510437,0.0,0.0,3.5924114960330513
1.2728917784623592,40.743982519157626,-80.01328444130459,0.0,0.0,0.0,0.0,1.0,53.765306122448976,-23.68181818181818,1.3801549127127315,44.403250026197114,-68.49415187092056,0.0,0.0,2.611018773247462
1.2365994498263368,41.12152531577659,-79.15186814448117,0.0,0.0,1.0,0.0,0.0,54.13265306122449,-15.954545454545455,1.3822282294132107,44.40062446883133,-68.44894361724147,0.0,0.0,3.2474202517012998
1.2681815565452688,41.457927931755314,-78.45259341275046,0.0,0.0,0.0,0.0,1.0,36.05102040816327,-21.71212121212121,1.3474090773977465,43.991635609833764,-70.57795005540616,0.0,0.0,3.2722146728086834
1.3208535005510487,41.31234209287153,-78.55459070400285,0.0,0.0,0.0,1.0,0.0,37.275510204081634,-25.196969696969695,1.3838330558009153,44.37464406703021,-68.39649256472013,0.0,0.0,4.238115444969662
1.2655568573960776,41.328817082123535,-78.47130740836924,0.0,0.0,0.0,0.0,1.0,53.39795918367347,-15.65151515151515,1.364810341776549,44.188926443220566,-69.5044288475728,0.0,0.0,4.411955313318984
1.215004734532861,41.11449086710855,-79.27617592817039,0.0,0.0,1.0,1.0,1.0,54.43877551020408,-23.68181818181818,1.382627678360176,44.398070526728745,-68.45497812471338,0.0,0.0,3.462590514657066
1.1984690140568024,41.47357847450871,-78.82226005859653,0.0,0.0,0.0,0.0,1.0,37.09183673469388,-19.59090909090909,1.3838876793987112,44.34606343957524,-68.41859829904838,0.0,0.0,3.9182965850800198
1.3018868709437894,41.34006542086084,-78.86424849982026,0.0,0.0,1.0,1.0,1.0,53.88775510204081,-25.196969696969695,1.38371016862515,44.38145828329817,-68.41871687818296,0.0,0.0,3.6573146022040515
1.267255436108203,41.25827893639267,-78.49469162042038,0.0,0.0,0.0,1.0,0.0,37.642857142857146,-24.136363636363637,1.3629048124240313,44.22905493197361,-69.53640263086454,0.0,0.0,4.378223221193933
1.2952084053679997,41.308571007734336,-78.49229496362211,0.0,0.0,1.0,1.0,1.0,52.785714285714285,-14.893939393939394,1.382512402395264,44.41808534520784,-68.39707902800338,0.0,0.0,4.321265895349315
1.284406460712633,41.18796050500422,-78.47132315141901,0.0,0.0,1.0,0.0,0.0,54.13265306122449,-11.863636363636363,1.358900121545751,44.14751082441196,-69.78322463733667,0.0,0.0,4.113175428427221
1.2715746703522761,41.35437254237677,-78.44721489992541,0.0,0.0,0.0,1.0,0.0,36.66326530612245,-24.28787878787879,1.3487980075485133,43.97637174521182,-70.51161405904308,0.0,0.0,3.3095768633067237
1.2721770263338112,41.454663449413495,-78.41124384715127,0.0,0.0,0.0,0.0,1.0,37.765306122448976,-24.59090909090909,1.358908777659121,44.05187913669642,-70.0114894480279,0.0,0.0,3.7500527763119162
1.2536253330123095,41.26579727133345,-78.47381918697421,0.0,0.0,1.0,1.0,1.0,35.92857142857143,-10.954545454545453,1.3663226072526955,44.18668782553277,-69.43009299504615,0.0,0.0,4.44644980061042
1.2231432035302139,41.443281079651456,-78.4265163765231,0.0,0.0,1.0,0.0,0.0,36.66326530612245,-18.984848484848484,1.3409984744549823,44.297180656804755,-70.27084917862358,0.0,0.0,3.579798615648814
1.252177655655196,41.34777961406555,-78.41768426546349,0.0,0.0,1.0,0.0,0.0,36.41836734693877,-17.31818181818182,1.369475402669896,44.31180830660016,-69.12928437596514,0.0,0.0,4.691600160170115
1.2303322937437657,41.608470782410635,-78.40137360626994,0.0,0.0,1.0,1.0,1.0,35.86734693877551,-17.015151515151516,1.3559986784531128,44.11449258526208,-70.0153872138125,0.0,0.0,3.7170574028978844
1.2659764102811657,40.926565766047624,-79.91833011040316,0.0,0.0,1.0,1.0,1.0,52.357142857142854,-11.106060606060606,1.3834321976100301,44.381165083487915,-68.42131371284748,0.0,0.0,2.5587517399084962
1.2153577376103841,41.472617205838944,-78.82584753904499,0.0,0.0,1.0,1.0,1.0,36.41836734693877,-23.833333333333332,1.382902550204067,44.40408464314599,-68.40615065597119,0.0,0.0,3.9169801699745914
1.288017738251982,41.445629811751274,-78.42431820716907,0.0,0.0,1.0,1.0,1.0,52.295918367346935,-17.166666666666664,1.370419227858327,44.255057947550206,-69.1728127122684,0.0,0.0,4.623798605067989
1.2790738476140744,41.42765760589034,-78.47256705184833,0.0,0.0,0.0,1.0,0.0,53.214285714285715,-13.227272727272727,1.3685547544365606,44.25849508264346,-69.25619671739356,0.0,0.0,4.596687146051908
1.2569338301520172,41.245559278864256,-78.4394333576268,0.0,0.0,0.0,1.0,0.0,36.173469387755105,-15.196969696969697,1.352169269256611,43.91261301528285,-70.53603827761405,0.0,0.0,3.288591835014879
1.2696373961955338,41.335778117397844,-78.49668926655598,0.0,0.0,0.0,0.0,1.0,52.90816326530612,-16.257575757575758,1.3512728530621825,43.932884331979075,-70.56539225389037,0.0,0.0,3.301433725752972
1.2905976630444964,41.25718682125702,-78.42507245929993,0.0,0.0,1.0,0.0,0.0,52.724489795918366,-23.227272727272727,1.3584096957359135,44.05773177103869,-69.99071462492299,0.0,0.0,3.82955082083247
1.2648695925163036,41.24655356938656,-78.48674184676665,0.0,0.0,0.0,1.0,0.0,52.47959183673469,-11.712121212121211,1.350950481776704,44.014798464518556,-70.33994107246993,0.0,0.0,3.5472869544378494
1.2696373961955338,41.335778117397844,-78.49668926655598,0.0,0.0,1.0,1.0,1.0,38.316326530612244,-13.984848484848484,1.3512728530621825,43.932884331979075,-70.56539225389037,0.0,0.0,3.300356160453571
1.2648695925163036,41.24655356938656,-78.48674184676665,0.0,0.0,1.0,0.0,0.0,52.173469387755105,-12.772727272727272,1.350950481776704,44.014798464518556,-70.33994107246993,0.0,0.0,3.551287434079889
1.2391457834450859,41.18556129700382,-79.37653972241444,0.0,0.0,1.0,0.0,0.0,52.173469387755105,-24.59090909090909,1.3818563882660075,44.37741481402097,-68.48161727485765,0.0,0.0,3.0114096225989204
1.267255436108203,41.25827893639267,-78.49469162042038,0.0,0.0,0.0,0.0,1.0,53.826530612244895,-20.803030303030305,1.3629048124240313,44.22905493197361,-69.53640263086454,0.0,0.0,4.377168385904495
1.274364898865487,41.31678899048441,-78.49196155567225,0.0,0.0,1.0,1.0,1.0,51.744897959183675,-12.015151515151516,1.3827492138058926,44.373467238505214,-68.42190794930112,0.0,0.0,4.343759371597317
1.2318695373620316,40.48172406858045,-80.37783519540903,0.0,0.0,0.0,0.0,1.0,36.90816326530612,-17.166666666666664,1.3822215924500236,44.40823742059687,-68.4196434281215,0.0,0.0,2.2159622745735543
1.2310077856297896,40.54985851965499,-80.39212181071514,0.0,0.0,1.0,1.0,1.0,36.357142857142854,-18.075757575757574,1.3812150471725708,44.44751599381081,-68.40922345591223,0.0,0.0,2.215780946581617
1.2497073590116161,41.39153321373294,-78.44687587191434,0.0,0.0,0.0,0.0,1.0,53.33673469387755,-15.348484848484848,1.3599721642578364,44.206098810802644,-69.70092643168636,0.0,0.0,4.135160312531772
1.2536253330123095,41.26579727133345,-78.47381918697421,0.0,0.0,0.0,0.0,1.0,36.54081632653061,-15.954545454545455,1.3663226072526955,44.18668782553277,-69.43009299504615,0.0,0.0,4.446661296335604
1.2536253330123095,41.26579727133345,-78.47381918697421,0.0,0.0,1.0,1.0,1.0,52.54081632653061,-21.106060606060606,1.3663226072526955,44.18668782553277,-69.43009299504615,0.0,0.0,4.446618889205405
